alias,player_id,player_name,position,player_name_norm
mitoma,34,Kaoru Mitoma,Forward,kaoru mitoma
kaorumitoma,34,Kaoru Mitoma,Forward,kaoru mitoma
karim benzema,35,Karim Benzema,Forward,karim benzema
benzema,35,Karim Benzema,Forward,karim benzema
karimbenzema,35,Karim Benzema,Forward,karim benzema
mbappe,36,Kylian Mbappé,Forward,kylian mbappe
mbappee,36,Kylian Mbappé,Forward,kylian mbappe
kylian mbappe,36,Kylian Mbappé,Forward,kylian mbappe
kylianmbappe,36,Kylian Mbappé,Forward,kylian mbappe
lionel messi,37,Lionel Messi,Forward,lionel messi
leomessi,37,Lionel Messi,Forward,lionel messi
lm10,37,Lionel Messi,Forward,lionel messi
leo messi,37,Lionel Messi,Forward,lionel messi
messi,37,Lionel Messi,Forward,lionel messi
marcus rashford,38,Marcus Rashford,Forward,marcus rashford
rashford,38,Marcus Rashford,Forward,marcus rashford
marcusrashford,38,Marcus Rashford,Forward,marcus rashford
neymar junior,39,Neymar,Forward,neymar
neymar,39,Neymar,Forward,neymar
neymarjr,39,Neymar,Forward,neymar
neymar jr,39,Neymar,Forward,neymar
giroud,40,Olivier Giroud,Forward,olivier giroud
olivier giroud,40,Olivier Giroud,Forward,olivier giroud
rafa leao,41,Rafael Leão,Forward,rafael leao
rafael leao,41,Rafael Leão,Forward,rafael leao
rafaleao,41,Rafael Leão,Forward,rafael leao
leao,41,Rafael Leão,Forward,rafael leao
robert lewandowski,42,Robert Lewandowski,Forward,robert lewandowski
lewandowski,42,Robert Lewandowski,Forward,robert lewandowski
mane,43,Sadio Mané,Forward,sadio mane
sadio mane,43,Sadio Mané,Forward,sadio mane
sadionmane,43,Sadio Mané,Forward,sadio mane
son heung min,44,Son Heung-min,Forward,son heung min
sonny,44,Son Heung-min,Forward,son heung min
heung min son,44,Son Heung-min,Forward,son heung min
vinicius,45,Vinícius Júnior,Forward,vinicius junior
vini,45,Vinícius Júnior,Forward,vinicius junior
vinicius junior,45,Vinícius Júnior,Forward,vinicius junior
vinicius jr,45,Vinícius Júnior,Forward,vinicius junior
vini jr,45,Vinícius Júnior,Forward,vinicius junior
vinijr,45,Vinícius Júnior,Forward,vinicius junior
