player_name,matched_aliases,tweet_mentions,example_tweet
Lionel Messi,goat_contextual|leo messi|leo_contextual|lionel messi|messi,17,"Happy for the Lionel Messi The GOAT ♥️🐐👑
What a final, what a goal, what a win for Argentina. That's why Leo Messi my GOAT your dream, determination and hard work pay off. Congratulations to Argentina for winning the FIFA World Cup final 🫶💯
#FIFAWorldCup #Messi𓃵 #Mbappe https://t.co/VFWdLOivjU"
Kylian Mbappé,kylian_contextual,17,"@BAddict1899 @TheAthleticFC @stujames75 @charlotteharpur France were inexistant for 70 minutes, then woke up and Kylian scored a magnificent goal and 3 penalties in 40 min on the best penalty keeper of the tournament during a WORLD CUP FINAL. That’s why he got a high mark. This being said, 8 or 9 they both should have got the same mark"
Neymar,neymar|neymar jr,16,"fifa world cup 2022 quarter final, FIFA World Cup: Wow! Kya bhaukaal hai… Eyes won’t believe after seeing Neymar Jr’s goal – fifa world cup neymar thrilling goal video joins ronaldo and pele in elite list brazil beat south korea – News X https://t.co/CQXPpYf1zg"
Cristiano Ronaldo,cristiano ronaldo|goat_contextual|ronaldo,16,"@ChaaliiyKay You're very funny I know here goes your 15 minutes of clout.

Ronaldo de Lima's last world cup was in 2006 and he was 30 years old with only 3 goals in 5 matches with a dream Brazilian team. Cristiano Ronaldo is the goat because at nearly 38 he's still performing at that level"
Cristiano Ronaldo,cristiano|goat_contextual|ronaldo,16,"@AQ44628273 @mvsrapp Ronaldo has a poor statistic against South American teams but he played 4 competitive matches and Messi with 2 goals in 14 competitive matches against European teams is the GOAT 🤣🤣🤣

Yes Cristiano was MOTM in the match against Brazil from the World Cup. Document yourself https://t.co/KihTQ8rNcn"
Lionel Messi,goat_contextual|leo messi|leo_contextual|lionel messi,15,"It's real. It's happened.

Lionel Messi and Argentina are champions of the world 🏆

No more words needed

1,003 games. 793 goals. 7 Ballons d’Or. One World Cup. 

You deserve it

Leo Messi's career masterpiece is complete 🐐

Congratulations THE GOAT 🐐👑 

#argentina #Messi10 https://t.co/WhV7jYZGWt"
Ederson,ederson,15,"@Alvarez19SZN Ederson will ruin their efforts country or club who won ucl or world cup has good keeper,argentina has concede 2 goals against netherland and france and would have bootled if they didnt have martinez so forget about wining ucl as long as ederson is our keeper"
Lionel Messi,leo_contextual,14,"1,003 games, 793 goals, 7 Ballons d’Or, 
 One World Cup.
Leo 🐐 
Argentina wins The FIFA World Cup 
And 
World cup wins The Mesi.... https://t.co/KFSrHlE0gf"
Cristiano Ronaldo,cr7|cristiano ronaldo|goat_contextual,14,"⏰ 50’ | Ramos with his second goal of the night! 🔥

🇵🇹 3-0 🇨🇭

#PORSWI #PORZWI #Portugal #Switzerland #CR7 #Cristiano #Ronaldo #Ramos #Pepe #CristianoRonaldo #GOAT #Qatar2022 #WorldCup #WKVoetbal #betFIRST https://t.co/oENVKfTKhR"
Lionel Messi,goat_contextual|leo messi|leo_contextual|messi,14,"1,003 games. 793 goals. 7 Ballons d’Or. One World Cup.
Leo Messi's career masterpiece is complete 🐐 The GOAT has completed FOOTBALL 💪🏼
#Messi𓃵 #Argentinaganólacopadelmundo https://t.co/VamAlumJmV"
Son Heung-min,son_contextual,14,"⏱️ 60' | South Korea doesn't give up and continues to hunt for a goal 👏

🇧🇷 4-0 🇰🇷

#BRAKOR #Brasil #Brazil #Korea #Neymar #Richarlison #Son #WorldCup #WC2022 #WK2022 #WC #WK #Qatar2022 #FIFAWorldCup #betFIRST #live #BRA #KOR https://t.co/dVaru6tUfI"
Sadio Mané,sadio mane,14,"🎄 Day 🔟 of our #LFC Advent Calendar:

🔴 269 Appearances
⚽ 120 Goals
🏆 Champions League
🏆 Super Cup
🏆 FIFA Club World Cup
🏆 Premier League
🏆 Carabao Cup
🏆 FA Cup

What a player Sadio Mane was for us 👏 #LFC 

https://t.co/Y769zGo0o0"
Olivier Giroud,giroud|olivier giroud,13,"RT @NeerajKumarJad1: Amazing goal by Giroud within a minute of a missed chance. 
England was never the favourite at penalties. It's a perennial Quarter Final Team with few exceptions. 

#FIFAWorldCup
#ENGFRA
France's Olivier Giroud scores goal vs. England in 77' | 2022 FIFA https://t.co/RNsj4WqQ4z"
Jack Grealish,jack grealish,13,@athar0908 The result is all that matters. If you don’t play your most inform player pre World Cup and during the World Cup and you lose you deserve the disrespect that comes after. Never mind thrown in jack grealish instead of Trent when you need a goal.
Kyle Walker,kyle walker|walker_contextual,13,"@AaronBastani @PaulSimon1971 @jimmyt_jpeg Yes, FIFA is totally corrupt as we know. We also know the ref was bent. France should have had ten men due to last man foul fir second pen. + many other obvious fouls against England not given. Kyle Walker totally bossed diving cheat Mbappe."
Lionel Messi,goat_contextual|leo messi|leo_contextual|leomessi|lionel messi|messi,13,"Lionel Messi The GOAT 🐐👑
What a final, what a goal, what a win for Argentina. That's why Leo Messi my GOAT. Congratulations to Argentina for winning the FIFA World Cup final 🫶💯
I- 😭😭🇦🇷🫶🏻
#LionelMessi #LionelMessi𓃵 
#Messi𓃵 #Messi #LeoMessi 
#GOAT𓃵 #ArgentinavsFrance https://t.co/PhNpnH2tLA"
Lionel Messi,lm10|messi,13,"4 MOTM is really crazy
Messi at 35 still shows he's the greatest of all time, there's no catching him
Ronaldinho didnt want to miss d show 
Today I watched my best game of the world cup
What a goal from Alvarez 
This proves there's only 1 LM10

Haland Modric Rigged Fifa Dybala https://t.co/ckGBFZkGHs"
Lionel Messi,goat_contextual|leomessi|messi,13,"Congratulations to Argentina for becoming the world champions !!!! 
#FIFAWorldCup2022 #Messi #leomessi #mbappe #kylianmbappe #GOAT #ArgentinaVsFrance #worldcup #france #WorldCup2022 #footballsunday #argentina #france #footballworldcup #FIFA #football #soccer  #sports #Team #goals https://t.co/xGjOz0NvJ4"
Bruno Fernandes,fernandes_contextual,13,"12/10 World Cup predictions

Portugal vs Morocco 
2-0 Portugal

Goals by Ramos and Fernandes

England vs France
2-1 England

Goals by Saka, Kane and Mbappe"
Thibaut Courtois,courtois,13,"Courtois was flop in Laliga but monster in #ChampionsLeague

Emi Martinez 🐐 was decent in his Mid club and has given one of the greatest #WorldCupFinal and #WorldCup performance by any Goal keeper in history like Khan and Buffon.

I look forward to seeing is rank in Ballon D'or https://t.co/4R436zmadb"
Lionel Messi,leo messi|leo_contextual|lionel messi,12,"🚨DID YOU KNOW: Lionel Messi at World Cup:

◾ 7 Goals ✅
◾ 3 Assists ✅
◾ 5 MOTM ✅
◾ Player of the Tournament ✅
◾ Champion ✅

Deserved it all, one and only, Leo Messi! 🇦🇷❤️ https://t.co/VCyxphJogN"
Son Heung-min,sonny,12,astagfirullah this is illegal let my boy sonny get a world cup goal atleast 😔😔
Karim Benzema,benzema|karim benzema,12,"Big blow for the defending champions!

Ballon d'Or winner Karim Benzema has been ruled out of the 2022 FIFA World Cup, two days before France's opening match against Australia. 

#FansConnect #Afrosport #Benzema #France #WorldCup2022 #WorldCup #Qatar2022 https://t.co/WonEt3yfTQ"
Kylian Mbappé,kylian mbappe|kylian_contextual|kylianmbappe|mbappe,12,"4 - Kylian Mbappé has scored more World Cup final goals than any other player in the tournament's history (4)

#mbappe #neymar  #messi #football #fifa #ronaldo #soccer  #france  #kylianmbappe #cristianoronaldo #mbapp https://t.co/23LlY7l9s4"
Bernardo Silva,silva_contextual,12,@austinvin07 @goal All the city players were shocking at the World Cup. Bernado Silva and Cancelo were complete shit
Enzo Fernández,fernandez_contextual,12,"ARGENTINA 1/4 FIFA world cup Statistics

4️⃣ Games Played  

7️⃣ Goals Scored

3️⃣ Goals Conceded

2️⃣ Cleansheet

🚨Most Goals
L.Messi 3️⃣

Most Assists :Messi, Otamendi, Fernandez,Dimaria , Molina 1️⃣ https://t.co/UOdK8jrabd"
Rodrigo De Paul,depaul,11,"@AlbicelesteTalk My copa 24 team

Dibu

Molina ota/licha romera acuna
DePaul enzo/parades mac/lo celso
Di Maria alvarez/lautaro messi / dybala 

Don’t include that crap grancho let him play for portughal he can post for ronaldo goal but not a post for his country’s World Cup lol permanent ban him"
Declan Rice,declan rice|rice_contextual,11,@ConnCFC Declan rice to score is first world cup goal for england
Rodri,rodri,11,"@CFC_Karl Enrique's Spain had a massive issue with scoring goals. Since beating Georgia 4-0, they've only scored more than 2 goals 3 times, coming against Jordan, Iceland and Costa Rica. 18 games, including losing to Japan and Morocco in the World Cup. Played Rodri at CB etc..."
Karim Benzema,karimbenzema,11,"France's injuries heading into the World Cup 💔🤕
#France 
#karimbenzema 
#WorldCup2022 
#WorldCup https://t.co/o6F65eAjcE"
Thiago Silva,thiago silva,11,At 38 years-old and 74 days Thiago Silva becomes the oldest male footballer to assist a goal in a World Cup match. 🍷 https://t.co/pPKDFpg9zk
Karim Benzema,karim benzema|karimbenzema,10,"⚽After France's World Cup defeat, Karim Benzema announces his retirement from international football. This ends his international career with 37 goals in 97 matches. 

#KarimBenzema #FIFAWorldCup #SportsNews https://t.co/l55Kwwd0so"
Thiago Silva,silva_contextual|thiago silva,10,"Can someone point to me a player (from any field position) currently playing who has a better football intelligence than Thiago Silva aside Messi?
I'm waiting.

Brazil Korea Neymar World cup Mbappe Tinubu Jagaban Chetham House Chelsea Arise TV Goal"
Eden Hazard,hazard_contextual,10,2 World Cup Knockout goals whilst Hazard stood and watched. De Bruyne carried Belgium all these years https://t.co/GUp1HolN0j
Cristiano Ronaldo,cr7|cristiano|goat_contextual,10,"...at this point whether @Cristiano decides to do the impossible and defy logic to ensure he's called up for 2026 World Cup, or he decides to win it as a Manager, or leaving it to Cristiano.Jr. I just want the #CR7𓃵 #GOAT𓃵 to score 1000 Goals."
Aaron Ramsdale,ramsdale,10,A reminder that Ramsdale has conceded zero goals in the world cup but Mr Gareth Haramball decided to start Pickford
Rodrigo De Paul,rodrigo de paul,10,"Any Messi picture in Argentina 🇦🇷 you don’t see Rodrigo De Paul just know that he is the one taking Messi the picture 📸 
#WorldCup2022 https://t.co/B6VgUIQlmF"
Lionel Messi,leomessi|lionel messi|messi,9,".@Cristiano Ronaldo &amp; Lionel Messi unite for their 1st ever joint promotion as the legendary duo play chess together in an advert for @LVMH before the start of the #WorldCup2022. 🔥🔥

#CristianoRonaldo #Cristiano #leomessi #Messi𓃵 #LVMH #QatarWorldCup2022 #Qatar #Qatar2022 https://t.co/0M5ipmQJzD"
Son Heung-min,son heung min|son_contextual,9,"10. Son Heung-Min

The Man in the Iron Mask failed to register a single goal in the World Cup with South Korea &amp; his plethora of goals from last season in the EPL fell off a cliff. He barely cracked the top 25 scoring list but has the tools (&amp; set pieces) to reclaim top 5 status. https://t.co/OmfhZg0fkg"
Casemiro,case_contextual,9,"@2026_worldcup_ @brfootball The only case deserves to compare to Messi is Pele because he ""won"" 3 World Cup. 

However he won 2nd trophy in hospital. In the 3rd trophy, he only scored 1/11 goals Brazil scored in KO stage, he won by a too strong Brazil."
Marcus Rashford,marcus rashford|rashford,9,"Erik ten Hag challenges Marcus Rashford to 'keep this attitude and this performance level': Man United doubled their lead 12 minutes into the second half when Rashford, scorer of three goals during the World Cup, went on a run taking the ball from his… https://t.co/8ZblUYDope"
Harry Kane,harrykane|kane,9,"RT @thesportsbreeze: And that’s all for the quarterfinals!
England 🏴󠁧󠁢󠁥󠁮󠁧󠁿1-2🇫🇷 France

•

#sportsbreeze #fifaworldcup #fifaworldcup2022 #worldcup #fifa #fifaworldcupqatar2022 #qatar #england #france #giroud #tchouameni #kane #harrykane 
📷 ©433 https://t.co/3f3lMdcr2P"
Cristiano Ronaldo,cr7|cristiano|cristiano ronaldo,9,"Club World Cup Top Scorer: Cristiano Ronaldo 🇵🇹
Most week foot Goals : Cristiano RonaldoMost International Competitive goals: Cristiano Ronaldo
Most Goals in UCL finals: Cristiano RonaldoMost Header Goals : Cristiano Ronaldo 🇵🇹Only player to win 400 games in 21st century Cr7"
Jude Bellingham,jude_contextual,9,"@England @FIFAWorldCup Jude Floppingham has himself a GAME! 🔥

0 goals🆙🆙
0 assists🤩🤩
0 chances created😝😝
0 key passes😤😤
13 flops🥵🥵
12 tears shed 😢😢

Better than Milner? IN HIS DREAMS 😭😭"
Cristiano Ronaldo,cr7|cristiano ronaldo|ronaldo,9,Before the World Cup! I said Portugal’s best striker and starting striker should be Goncalo Ramos over Cristiano Ronaldo &amp; Cr7’s fans thought I was hating. Ramos benches Ronaldo after horrible performances in the group stages and he has 2 goals in the knock out stages. Cr7 has 0
Luka Modrić,lukamodric,9,"""Art Study

#LukaModric #FIFAWorldCup #sketch https://t.co/VTxhlTQl3N"""
Bernardo Silva,bernardo silva|bernardo_contextual|silva_contextual,8,"@AkpraiseMedia If all the players are off the field, the opponent can kick-off and score goal.. so that one has to stay inside the pitch… Bernardo Silva also did the same in Portugal’s match in this world cup so that other team cannot start."
Emiliano Martinez,dibu martinez|martinez_contextual,8,"Argentina team Worldcup some positive
Main Messi as leader nd opponent fear of him nd he has been best player 
Dibu Martinez two penalties knockout bail out nd save the team
Julian Alvarez all the vital goal 
Enzo Fernandez that holding midfielder role mde defence smooth"
Enzo Fernández,enzo_contextual,8,"Argentina was never a favourite in the World Cup. If this is our final match , I am glad that we played well, kept the ball, produced some great goals, we had glimpse of future generations on Alvarez, Enzo, Lisandro and we have Thiago Almada, Garnacho, Pablo Solari, Alan Varela.."
Julián Álvarez,alvarez|julianalvarez,8,Alvarez has been involved majorly in the build up to both the goals + the amazing work rate and tracking back all over the pitch. Immense #JulianAlvarez #WorldCup
Bernardo Silva,bernardo silva,8,Bernardo Silva could have done better. You should get that nearer to the goal. #WorldCup
Robert Lewandowski,robert lewandowski,8,"Cristiano Ronaldo in the World Cup KO’s:

0 Goals
0 Assists
7 Matches

Robert Lewandowski in the World Cup KO’s:

1 Goal
0 Assists
1 Match

If I speak..."
Moisés Caicedo,moises caicedo,8,"First up is the hosts Qatar v Ecuador is what is really a underwhelming opener. I’m backing Ecuador to win 0-2 lead by the Brighton trio of Estupinan, Sarmiento, and Moises Caicedo #WorldCup2022 🇶🇦🇪🇨"
Declan Rice,rice_contextual,7,"""FIFA WORLD CUP 2022
PLAYERS WHO HAVE IMPRESSED
D. ENGLAND
1. SAKA
2. RICE
3. FODEN
4. BELIGHAM

E. GERMANY
1. MUSIALA

F. ECUADOR
1. VALENCIA
#FIFAWorldCup"""
Lionel Messi,leo_contextual|lionel messi,7,"Lionel Messi becomes the first player ever to score a goal in the group stage, round of 16, quarter final, semi final and final in a single World Cup tournament. 

He’s achieved this at the age of 35😳😱

Long live King Leo 🤴

#ArgentinaVsFrance  #WorldCup  #LionelMessi𓃵"
Bukayo Saka,bukayo saka|saka,7,"""0 dribbled past / 1 big interception vs Bukayo Saka (premtards said Saka cooked him) 
0 dribbled past vs Hakimi &amp; Ziyech

but ""Theo can't defend""."""
Lionel Messi,leomessi|lionel messi,7,"Congratulations to Argentina! Glorious victory for Lionel Messi on his last WorldCup. What an incredible match! 🇦🇷🥇🏆⚽️🎉 #fifiworldcup2022 #football #Champions #leomessi #argentina #legend  #Goal #victory

https://t.co/yjsuTJX72c https://t.co/nnAEwjdtL8"
Cristiano Ronaldo,cristiano|cristiano ronaldo|ronaldo,7,Cristiano Ronaldo's FIFA World Cup ends in tears | Football News ⁦@FIFAcom⁩ ⁦@FIFAWorldCup⁩ ⁦@Cristiano⁩ ⁦@Twitter⁩ # disaster decision of Portugal old coach for benching Ronaldo in the quarter final? Coach Ego 👎🏿👎🏿👎🏿?????? https://t.co/NJeJjLeIsU
Marcus Rashford,marcusrashford|rashford,7,"Both @MarcusRashford &amp; @KMbappe at 24 are better than what @Cristiano was at that age. #Ronaldo had world-class players around him at @ManUtd who worked their socks off, while he scored the goals. Rashford is #MUFC's main man, a team in transition. Mbappe is a World Cup winner."
Moisés Caicedo,caicedo,7,"A player to watch Moisés Isaac Caicedo Corozo ❤️‍🔥🥵🐐
 #FIFAWorldCup #WorldCup2022  we’re here babe! #QATECU https://t.co/I6ricXQFl7"
Nathan Aké,ake,7,@AbzSemtex @Goat7ii @SazMCFC @goal @FIFAWorldCup Warra wc for ake
Thiago Silva,silva_contextual,7,"""FIFA WORLD CUP 2022
PLAYERS WHO HAVE IMPRESSED
M. IRAN
1. TEREMI

N. BRAZIL
1. SILVA
2. ANTONY
3. PAQUETA

O. SPAIN
1. MORATA
2. PEDRI
#FIFAWorldCup"""
Kylian Mbappé,mbappee,7,117' GOAL MBAPPEE HATTRICKK IN THE WORLD CUP FINAL! 3-3 UNBELIEVABLE FINAL
Kaoru Mitoma,mitoma,7,"@FIFAWorldCup Richarlison's Bicycle Goal  🇧🇷 Vs Serbia
And Ao Tanaka's Goal 🇯🇵 Against Spain which was Superbly Assisted by Mitoma"
Lionel Messi,leo messi|leo_contextual|leomessi,7,"1,003 games. 793 goals. 7 Ballons d’Or. One World Cup.
Leo Messi's career masterpiece is complete 🐐
#worldcup #qatarworldcup #leomessi #lionelmessi #qatarworldcup2022 https://t.co/6KpXBeOy3A"
Cristiano Ronaldo,cristiano|cristiano ronaldo|goat_contextual,6,"Always Loved watching Cristiano Ronaldo’s play , Now 18-year World Cup career is officially over.

He's broken goal records, he's broken appearance records, he won the Euros, he had nothing left to prove. #GOAT𓃵  #Cristiano 

An incredible international career! 🇵🇹 #FIFAWorldCup https://t.co/VsOGbkKFCx"
Jack Grealish,jackgrealish,6,9 years ago @JackGrealish scored his first goal. On Saturday he will be playing in a world cup quarter final 🤯 https://t.co/H83luJIQub
Alisson,alissonbecker,6,"@FIFAWorldCup I think the best goal kepper is @AlissonBecker From @brazil becasue the match I watched yesterday,he caught the ball until full time. @brazil  4 @southkorea 1"
Kevin De Bruyne,kevin de bruyne,6,"Brazil vs Belgium 2018 FIFA World Cup Match Highlights
Brazil vs Belgium 2018 FIFA World Cup Match Highlightsifinals. A Kevin De Bruyne goal and an own goal
#BrazilvsBelgium #premierleagues #football 
https://t.co/Oo4dOVQXDy https://t.co/xFGHeTH205"
Julián Álvarez,julian alvarez|julianalvarez,5,"Dreams do come true! 

10 years ago, #JulianAlvarez asked #LionelMessi for a photograph as he was a big fan of his and dreamed of playing #FIFAWorldCup one day. 

Yesterday, Julian Alvarez scores a goal in the World Cup semi-final for Argentina.

Hard work always pays off. https://t.co/P7902ljPub"
Son Heung-min,son heung min,5,"🏆 | FIFA World Cup Qatar 2022

Son Heung-min 🇰🇷
(Premier League Stats)

🔹Games: 13
🔹FPL Points: 53
🔹Goals: 3
🔹Assists: 2
🔹Attempted assists: 28
🔹Big chances created: 2
🔹Total shots: 36
🔹Shots on target: 17
🔹Big chances: 4 https://t.co/S5pM8wIa69"
Karim Benzema,benzema|karimbenzema,5,2022 World Cup: Big Loss For France As Benzema Ruled Out of Tournament https://t.co/7Q9Ld5YhEI @Benzema #WorldCup #WorldCup2022 #karimbenzema #QatarWorldCup2022 #Qatar2022
Mason Mount,masonmount,5,@ChelseaFC @ChelseaFCW @MasonMount This one still useless even after World Cup he is nothing. Now this team really need creative midfield just like Leo Messi in Argentina Team. Must through pass ball must feeder the striker to make a chances to score a goal.
Luka Modrić,luka modric|luka_contextual|modric,5,"Lionel Messi vs Luka Modrić at international level...

2006 🇦🇷 2-3 🇭🇷
Messi scored his first Argentina goal, Modrić made his international debut

2018 🇦🇷 0-3 🇭🇷
Modrić scored, Croatia went on to reach the World Cup final

A third meeting in a third decade awaits."
Lionel Messi,goat_contextual|leo_contextual|messi,5,"@FIFAWorldCup I normally don't like this ? but it's time to say the GOAT question is not between Ronaldo and Messi, but between Mbappe and Lionel. Kylian is young, has time to win more. Leo is much more than just scoring goals: a creator, a magician and an inspirational leader for Argentina"
Trent Alexander-Arnold,trent alexander arnold,5,@EASPORTSFIFA @EAHelp my sons fifa players on ps5 have had red card bans now for way over 2 games. His voller card still showing red card after 10 games and Trent Alexander Arnold has been on a red card for 6 games. Is this yet another issue that’s being looked into
Lionel Messi,leo messi|leo_contextual|lionel messi|messi,5,"🚨DID YOU KNOW: Lionel Messi at World Cup:

◾ 7 Goals ✅
◾ 3 Assists ✅
◾ 5 MOTM ✅
◾ Player of the Tournament ✅
◾ Champion ✅

Deserved it all, one and only, Leo Messi! 🇦🇷❤️ #FIFAWorldCup #Messi𓃵 #ArgentinaVsFrance #LionelMessi𓃵 #FIFAWorldCup2022 #FIFAWorldCup2022Final https://t.co/PuuQXHUvOz"
Luke Shaw,shaw_contextual,5,*A reminder that Rashford has finished as England's joint top scorer at the world cup. Saka has finished with two goals despite playing more minutes. Ben White and Ramsdale haven't played a single minute while Maguire and Shaw were key players of the squad playing every minute!*
Lionel Messi,lionel messi|lm10,5,"@FIFAWorldCup @TeamMessi Lionel Messi has now scored more major tournament goals than Cristiano Ronaldo:

◉ 23 - LM10
◎ 22 - CR7

But there is another Ronaldo ahead of them both. 🫡

#FIFAWorldCup https://t.co/CQDadGKawt"
Luka Modrić,luka modric|modric,4,"😏 Did you know that Leo Messi scored his first goal for Argentina after losing the ball to Luka Modrić? 

🌟 It was a friendly match in 2006, Modrić's debut in the national team 

#Dexsport #Web3 #FIFAWorldCup #WorldCup #WorldCup2022 #Qatar2022 #ArgentinaVsCroatia #Messi #Modric https://t.co/3w581mwMZG"
Rúben Dias,ruben dias,4,fernando santos na ruben dias wako responsible for letting bootleg africans into the semi finals for the first time at the expense of the GOAT.FIFA should investigate.
Neymar,neymar junior,4,@FabrizioRomano Say hello to the genius of the time who has just equaled Pelé (77) as the TOP ALL-TIME SCORER FOR THE BRAZIL TEAM.  And he did it by scoring a very important goal in a World Cup.  What crack is Neymar Júnior.  RECORD IN THE STOCK EXCHANGE.
Kaoru Mitoma,kaoru mitoma,4,"@FIFAWorldCup @adidasfootball If you watch a replay of the strike by  Kaoru Mitoma after the crazy run he had, it struck the defenders hand. You can see it on the slowmo replay from behind shown on the coverage. Pretty sure the Croatian defender was inside the box. Being direct shot on goal surprising no VAR!"
Kyle Walker,kyle walker,4,@footballdaily He did well this tournament. But he throw away a the game against Croatia last World Cup and against Italy in the finals. Funny enough he scored first in all two of those games. But his defensive tactics. And playing Kyle walker in a back 3 was awful. But He need goal this time
Antonio Rüdiger,rudiger,4,"@iMiaSanMia @kerry_hau @berger_pj Sule and rudiger, playing upfront at the world cup, costs us 3 goals.... 🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡"
Lionel Messi,lionel messi|lm10|messi,4,"After the World Cup, probably the world will get to accept that  CR7, is the greatest goal scorer while Lionel Messi, the greatest football player 

…that ever lived.📌

#FIFAWorldCup 
#CR7𓃵 
#LM10 
#Ronaldo𓃵 
#Messi𓃵"
Lionel Messi,goat_contextual|leomessi,4,"Argentina since day 1🇦🇷🤍💙 
#worldcup2022 #leomessi #Goat #Argentina #qatar2022 @ Qatar2022 https://t.co/5rCjsnbHWS"
Neymar,neymar jr|neymarjr,4,@FIFAWorldCup @neymarjr Awesome goal Neymar jr
Trent Alexander-Arnold,taa,4,RT @TAA_blog01: World Cup: Argentina Under FIFA Investigation After Penalty Win Over Netherlands https://t.co/yyQDOHYyFC
Kevin De Bruyne,kevindebruyne,4,@goal @KevinDeBruyne after flopping at the world cup
Luke Shaw,luke shaw,3,I don’t think a team starting luke Shaw Harry Maguire Jordan Pickford Jordan Henderson can win a World Cup goal
Marcus Rashford,marcus rashford|marcusrashford,3,"@Geoffjohmson11 @GaryLineker @MarcusRashford Please Geoff Johnson, don't comment on Football anymore. You are embarrassing yourself!
Marcus Rashford has been sensational, 3 goals in the World Cup, and a World Class strike against Burnley!"
Kevin De Bruyne,debruyne,3,"NEARLY THE END OF WORLD CUP AWARDS: 

😍 Best player #Messi𓃵
😮 Underrated gem  #Amrabat
💥 Emerging star #Ounahi #Bellingham #Musiala 
😒 Flop of the tournament #DeBruyne 
🏹 Goal of the tournament #Richarlison vs Serbia https://t.co/Jz57Ic9bfE"
Alisson,alisson becker,3,"Julio Cesar:

“I think that, as a whole, Alisson [Becker] had a nice World Cup. In the first two games he wasn’t tested much, there were almost no shots on goal, in the third game Ederson came in and against Korea he had a great game.” #lfc [globo esporte via liverpool echo] https://t.co/3MZj3tQFih"
Neymar,ney_contextual|neymar,3,"Goal of the #FIFAWorldCup ??

This from #Neymar or possibly the overhead kick from #Richarlison 

How this Brazil team didn't come up against Argentina in the Semi-Finals, only #Croatia and a higher power know. What a team this was!

Hope Ney plays another world cup. #Qatar2022 https://t.co/S8xDQTYBK9"
Emiliano Martinez,dibu|emiliano martinez|martinez_contextual,3,"""🚨 Emiliano Martinez is the first active Aston Villa player to reach the #FIFAWorldCup final. Congrats Dibu! 

Clean sheet to go along with it too. My keeper 💜💙

#avfc | #utv | #vtid | @emimartinezz1 https://t.co/S9KkFS2Xw3"""
Luka Modrić,luka modric|lukamodric,3,"""#FIFAWorldCup | Luka Modric was once again considered an ideal inspiration for his nation.

Sunil Yash Kalra, Founder, @IndianSportFan &amp; @atulkasbekar share their take on #LukaModric.
 
@Dafanewsindia https://t.co/LOb08Af8mT"""
Emiliano Martinez,emilianomartinez,3,@emimartinezz1 You are the best Goal Keeper in this world.. What a World Class Save that was !!! #WorldCupFinal #EmilianoMartinez #Messi #Argentina #WorldCup https://t.co/0ZveLeTMUc
Neymar,neymar|neymar jr|neymarjr,3,"#Fifa world cup neymar is our of World Cup but still remember that maybe next year no one is happy after his loss but still leo messi got your back neymar jr be happy  we love and care for you 
#neymarjr #LeoMessi https://t.co/5Q1XmXuOBV"
Luka Modrić,luka_contextual,3,"@JKyrox_ @MessiDaGOAT9 @TimelineCR7 Portugal has never been to a world cup final.....
y'all were praising Luka for making it to the final.....your own goat would never ever know what is to play a world cup final, not to even mention score a k.o. goal oh lala"
Rúben Dias,dias_contextual|ruben dias,3,"Manuel Akanji after seeing Ruben Dias, Joao Cancelo and Bernardo Silva back at the City Football Academy after they helped Portugal to smash 6 goals past him at the World Cup:

😂😂😂😂 https://t.co/aWh4sQyd99"
Cristiano Ronaldo,cr7|cristiano ronaldo|goat_contextual|ronaldo,3,"⏰ 87’ | Only a few minutes left... Will Ronaldo score a goal? 🤔👇

🇵🇹 5-1 🇨🇭

#PORSWI #PORZWI #Portugal #Switzerland #CR7 #Cristiano #Ronaldo #Ramos #Pepe #Guerreiro #CristianoRonaldo #GOAT #Qatar2022 #WorldCup #WKVoetbal #betFIRST"
Lionel Messi,goat_contextual|lm10|messi,3,"Best world cup final ever!
Messi's brace, Mbappe's hat-trick.
Late min goals, Penalty shootout.
In the end, the Undisputed GOAT LM10 became the world champion! Vamos! https://t.co/RgzLqunEvq"
Rafael Leão,rafa leao,3,Rafa Leao (1) has played 6 minutes of World Cup knockout round football and has scored more World Cup knockout round goals than Cristiano Ronaldo (0)
Lionel Messi,goat_contextual|leo messi|leo_contextual|leomessi|messi,3,"First time watching football match. 
What a final, what a goal, what a win for Argentina. Leo Messi 💪 Congratulations to Argentina and Messi for winning the FIFA World Cup final.🎉
#LionelMessi #LionelMessi𓃵 
#Messi𓃵 #Messi #LeoMessi 
#GOAT𓃵 #ArgentinavsFrance#LionelMessi"
Lionel Messi,goat_contextual|leomessi|lionel messi|messi,3,"Lionel Messi The GOAT 🐐👑
What a final, what a goal, what a win for Argentina. Congratulations to Argentina for winning the FIFA World Cup final 💯

#LionelMessi #LionelMessi𓃵 
#Messi𓃵 #Messi #LeoMessi 
#GOAT𓃵 #ArgentinaVsFrance https://t.co/7nNMJu1VJv"
Lionel Messi,goat_contextual|lm10,3,"A GOAL and ASSIST in world cup quarter final and semifinal isn't for everyone 

Only GOAT (LM10) can do this 
Argentina into the FINAL of #FIFAWorldCup
Alhamdulillah"
Thibaut Courtois,thibaut courtois,3,@piersmorgan Look alike Morocco 🇲🇦 goal keeper is winning the World Cup just like how Thibaut Courtois won the champion league for Madrid https://t.co/cnQQuq44NQ
