player_name,matched_aliases,tweet_mentions,example_tweet
Karim Benzema,benzema,299,"1. No European Champions
2. No Benzema, Kante, Pogba, Mane, Werner, Reece James, Chilwell, Jota and many more
3. Ronaldo, Messi past their prime
4. No footballing heritage in Qatar
5. Restrictions on fans

Most boring World Cup ???

#FIFAWorldCup 
#Qatar2022 
#WorldCup2022"
Marcus Rashford,rashford,253,"1 start 3 Goals in 5 world cup games 
Rashford underserved https://t.co/uJHNqfPyrZ"
Olivier Giroud,olivier giroud,246,"2018 fifa world cup
Olivier Giroud 0 goals 1 assist 
Griezman 3 goals 0 assists

2022 fifa world cup
Olivier Giroud 4 goals 
Antoine griezman 0 goals 3 assists ......

Not scoring a goal is sometimes part of the plan #Griezmann #FrancevsMorocco"
Cristiano Ronaldo,cr7|ronaldo,210,2014 world cup Ronaldo had a very weak Portugal team that were not expected to go far. He risked his career playing with an injury that he needed to rest to help his country. they got eliminated early with CR7 scoring a winning goal vs ghana and game tying assist vs USA.Bad luck https://t.co/WHum3XGno8
Bruno Fernandes,bruno fernandes|bruno_contextual|fernandes_contextual,200,"2 goals and 3 assists for Bruno Fernandes so far at the World Cup, he’s been superb!"
Lionel Messi,goat_contextual|lionel messi,141,"""2022 FIFA World Cup Qatar Final:

Argentina🇦🇷 vs France🇫🇷

Location: Lusail Qatar🇶🇦
Venue: Lusail Iconic Stadium

Time: Sunday 18/12/2022   07:00

🇦🇷Lionel Messi⚽⚽⚽⚽⚽ ✅
🇫🇷Kylian Mbappé⚽⚽⚽⚽⚽✅

#FIFAWorldCup #GOAT𓃵 #QatarWorldCup2022 https://t.co/CjcHHIxU7h"""
Cristiano Ronaldo,cristiano|ronaldo,140,"@10_9XM @ESPNFC Who wouldn't wanna talk about Messi ? The man has had a brilliant World Cup run so far , goals and assists ... And Ronaldo ? What should ESPN talk about ? His interviews ? Him walking out of a Man U match ? There's nothing positive that was done by Cristiano this year , NOTHING !"
Lionel Messi,goat_contextual,114,"@2_____2____ @Alsonn___ I rate Leo as the GOAT now due to his incomparable CV (7 Ballon d’Ors, 6 FIFA POTY, 3 UEFA POTY, 2 FIFA World Cup Golden Balls, 6x UCL Top Scorer, 6 European Golden Shoes, 4 IFFHS World Best Playmaker Awards, 1 World Cup, 3 UCLs, 700+ Goals and 300+ Assists)

What about you ?"
Cristiano Ronaldo,cr7|goat_contextual,112,"1/2
One Last Chance,One Last Dream,This is the last World Cup for Cr7,I love &amp; support you,Best of Luck my goat,Plz score atleast one goal today😭❤️🙏
#GOAT 
#cristianoronaldo 
#portugal 
#Qatarworldcup2022"
Kylian Mbappé,kylianmbappe,111,"* 12 World Cup goals in 14 games. 
* 6th-highest men’s World Cup scorer
* First hat trick in men’s final since 1966.
* 253 senior career goals.

Champion player.!

happy birthday, @KMbappe , the price of strong attitudes ! 

#KylianMbappe https://t.co/BlOJdy1ACt"
Lionel Messi,goat_contextual|lionel messi|messi,106,"1,003 games. 793 goals. 7 Ballons d’Or. One World Cup.

Lionel Messi's career masterpiece is complete. He is the greatest soccer player of all time #GOAT 🐐 #Messi𓃵 #Messi𓃵day https://t.co/adCPHLzd9F"
Cristiano Ronaldo,cristiano ronaldo|ronaldo,99,"@4d65737369 @itzwhyt @susezni @laligafrauds Cristiano Ronaldo did not have team mates to finish simple goals for his country 
Messi always had a better international team till now and also this Argentina were unbeaten for 35 games till the world cup 😂
Also Ronaldo has a fair bycycle kick disallowed against 2010 Spain 😂😂"
Lionel Messi,leo messi|leo_contextual|messi,96,"1,003 games. 
793 goals (+340 Assists). 
7 Ballons d’Or. 
One World Cup 🏆

Leo Messi's career masterpiece is complete 🐐
#Messi #FIFAWorldCup https://t.co/w0SsGkAbKM"
Jude Bellingham,bellingham,93,"@acspam2021 @ESPNFC Can't measure Casemiro's impact with goal scoring. He is the best defensive mid in the game. The world cup only strengthened that. Bellingham will be great but wasn't amongst the top 11. Bruno carried Portugal, was their best player. Bellingham was not the best player on Eng-yet."
Karim Benzema,karim benzema,86,"🏟 97 Games
⚽️ 37 Goals
🎯 20 Assists

🏆 Nations League
🥈 World Cup

❌ Karim Benzema has announced his retirement from international football! https://t.co/BHeP2QgCAg"
Cristiano Ronaldo,cristiano|goat_contextual,83,@1realdeezy @LaShuga1 @wise_moni @Femillionairee @kwadwosheldon @Cristiano You don't rate it and your he-goat is a joint top goal scorer of the world Cup scoring 4 of them
Emiliano Martinez,emiliano martinez|martinez_contextual,83,"@0noneoftheabove @mariamessina77 @DonnieDarkened @JackPosobiec Look it

World Cup revelation player: Enzo Fernandez shirt 24 

Best player of the cup 2022: 
Lionel Messi shirt 10

Best goalkeeper of the cup, who won the golden glove: 

Emiliano Martínez shirt 23

Top scorer of the 2022 World Cup: 

Mbappé 🇫🇷 who scored 8 goals. 
Shirt 10 https://t.co/hIdcBKOiI6"
Emiliano Martinez,emi martinez,81,2 pens in a world cup final is as good as 2 open play goals. The pressure is insane and against a GK like emi martinez who has built  a reputation for being elite at stopping pens. Stop being stupidly weird https://t.co/cVF3Y6oqeP
Rafael Leão,leao,81,"+12.25u💰💰

⚽️ World Cup 2020 🇶🇦 

To win:

Argentina 5/1 (1u) ✅💰
France 7/1 (1u)

Top goal scorer:
Mbappe 8/1 (.5u)✅💰
Jesus 25/1 (.25u)
Lewandowski 28/1 (.25u)

Top assists:
Messi 5/1 (1u) ✅💰
Leao 35/1 (.25u) https://t.co/39mMgUPQwy"
Emiliano Martinez,emi martinez|martinez_contextual,77,"2.Emi Martinez (Argentinan Goal Keeper) 
An unsung hero of the tournament. What a career he had, absolutely brilliant.He was struggling to be in the team before the World Cup,was always on loan while playing with clubs.From watching 2018 worldcup final as Audience to Winning it."
Neymar,neymar|neymarjr,77,"A bittersweet moment for @CBF_Futebol as @neymarjr tied Pele as the leading scorer in Brazil history with 77 goals despite being dumped out of the @FIFAWorldCup💥

#football #tracenchase #WorldCup2022 #WorldCup #WorldCup2022 #Qatar2022
#whodoyoucollect #neymar #SelecaoBrasileira https://t.co/3lic9pNBYN"
Marcus Rashford,marcus rashford,77,"#うひーメモ
投稿時間:2022-12-16 16:23:43
World Cup 2022: Marcus Rashford, Richarlison and Kylian Mbappe feature in best goals
https://t.co/s7MyFhN7BM
#ニュース"
Cristiano Ronaldo,cristiano ronaldo|goat_contextual,76,"4 goals and 3 assists for Messi in this World Cup, Imagine thinking Cristiano Ronaldo is better than Lionel Messi. 😭

Messi | GOAT | Penalty https://t.co/ziyMdUIqNX"
Bukayo Saka,bukayo saka,76,"3 games, 3 goals for Bukayo Saka at the World Cup.

Protect him at all costs. 

#ENG | #FIFAWorldCup https://t.co/7VT2s4Hw9c"
Luka Modrić,luka modric|luka_contextual,69,"1⃣6⃣1⃣ appearances
2⃣3⃣ goals
2⃣5⃣ assists
1⃣ x World Cup Runner Up
2⃣ x World Cup Semi-finalist

Luka Modric has been an incredible servant for Croatia 🇭🇷👏

#FIFAWorldCup #Qatar2022 #HRV https://t.co/XGXuyJ6kFR"
Vinícius Júnior,vinicius,67,"@089968Raph___ @FIFAWorldCup My friend, you don't understand football. Did you watch the game? Did you saw possesion of ball, did you saw Brozović and Perisic chance for goal, did you saw how Juranovic eat Vinicius...no my friend, you didn't saw anything."
Robert Lewandowski,lewandowski,66,"+12.25u💰💰

⚽️ World Cup 2020 🇶🇦 

To win:

Argentina 5/1 (1u) ✅💰
France 7/1 (1u)

Top goal scorer:
Mbappe 8/1 (.5u)✅💰
Jesus 25/1 (.25u)
Lewandowski 28/1 (.25u)

Top assists:
Messi 5/1 (1u) ✅💰
Leao 35/1 (.25u) https://t.co/39mMgUPQwy"
Vinícius Júnior,vini,65,1 Goal 2 Assists so far in this World Cup 🤩 Vini 🕺❤ https://t.co/vTcjrfBYQE
Neymar,neymar jr,63,"A player has scored a brace in the World Cup opener for the third consecutive World Cup

2014 - Neymar Jr. vs Croatia
2018 - Denis Cheryshev vs Saudi Arabia
2022 - Enner Valencia vs Qatar

#WorldCup #FIFAWorldCup #WorldCup2022 https://t.co/Mkv8EYaJRr"
Kevin De Bruyne,kdb,58,"1. #Mbappe𓃵 lit up the world cup scoring 4 goals in total. All NON-penalties. 

2. He went through murders row in #Messi's🇦🇷, Suarez's🇺🇾, Prime Hazard and KDB's🇧🇪, and Luka Modric's🇭🇷. 

3. Scored a goal in the final, making him the 2nd teenager to do so, right after Pele🇧🇷. https://t.co/ZSgdIhTqZy"
Vinícius Júnior,vinicius jr,58,"@10Ronaldinho What A START TO THE GAME !!!

Vinicius Jr with the Composure to Score the First GOAL of the Game!!!

#FIFAWorldCup2022 #WorldCup #WorldcupQatar2022 #Ronaldinho #OBruxo #DRYWORLD https://t.co/iDRjtp3tv4"
Lionel Messi,leomessi,52,"1,003 games. 793 goals. 7 Ballons d’Or. One World Cup.

#LeoMessi career masterpiece is complete 🐐

#ARG https://t.co/t0jVWgmUxr"
Julián Álvarez,alvarez|julian alvarez,52,"11 of the 12 goals Argentina have scored at this World Cup have come with Julián Álvarez on the pitch.

All 5 goals conceded have come when he was off it.

Argentina's unsung hero!🇦🇷

#Argentina #Alvarez #WorldCup2022 #Qatar2022 #FIFAWorldCup #helpbet https://t.co/mZ5RKJcNyx"
Enzo Fernández,enzo fernandez|enzo_contextual|fernandez_contextual,51,"@0noneoftheabove @mariamessina77 @DonnieDarkened @JackPosobiec Look it

World Cup revelation player: Enzo Fernandez shirt 24 

Best player of the cup 2022: 
Lionel Messi shirt 10

Best goalkeeper of the cup, who won the golden glove: 

Emiliano Martínez shirt 23

Top scorer of the 2022 World Cup: 

Mbappé 🇫🇷 who scored 8 goals. 
Shirt 10 https://t.co/hIdcBKOiI6"
Cristiano Ronaldo,cr7|cristiano ronaldo,51,"CR7 is ABD of football. Cristiano Ronaldo's World Cup career by numbers:

◉ 5 tournaments
◉ 22 games
◉ 8 goals
◉ 2 assists
◎ 0 trophies

A legendary international career will end without the greatest trophy of them all. 😪"
Bruno Fernandes,bruno_contextual,49,2 goals and three assists so far. Bruno Fernandez is really a gem. He is arguably Portugal's  🇵🇹 most important player in the ongoing 2022 Qatar World Cup https://t.co/tKbCNv27dR
Pedri,pedri,49,@abrabor_ Whilst He is scoring goals in  world Cup quarter finals Pedri is also watching him on TV
Luka Modrić,luka modric,47,"1. #Mbappe𓃵 lit up the world cup scoring 4 goals in total. All NON-penalties. 

2. He went through murders row in #Messi's🇦🇷, Suarez's🇺🇾, Prime Hazard and KDB's🇧🇪, and Luka Modric's🇭🇷. 

3. Scored a goal in the final, making him the 2nd teenager to do so, right after Pele🇧🇷. https://t.co/ZSgdIhTqZy"
Rafael Leão,rafael leao,47,"21-year-old Gonçalo Ramos—Three goals, one assist 
23-year-old João Félix—Two goals, two assists
23-year-old Rafael Leão—Two goals

Portugal’s young stars bringing it at the World Cup 🌟#Worldcup2022"
Kylian Mbappé,kylian mbappe|kylian_contextual|kylianmbappe,46,"▪️ 12 World Cup goals in 14 games
▪️ 6th-highest men’s World Cup scorer
▪️ First hat trick in men’s final since 1966
▪️ Almost led France to b2b titles

Kylian Mbappé is 23. #KylianMbappe is unreal ​​👏

#FIFAWorldCup https://t.co/wgpMsZJQ48"
Kylian Mbappé,kylianmbappe|mbappe,46,"12 World Cup goals in 14 games
First hat trick in men’s final since 1966
2nd World Cup where his team is in the finals
Yeah and also, Mbappe is only 23! What a legend! 
#KylianMbappe.  Remember the name. If you did not watch this game, you did miss the fun! #FIFAWorldCupFinal"
Lionel Messi,leomessi|messi,43,"172 goals at this world cup ,more than any of other world cup 
#FIFAWorldCup    #Qatar2022    #FIFAWorldCupFinal #WorldCup #ArgentinaVsFrance #ARGvFRA #FRAvARG #ARGvsFRA #FRAvsARG #Messi𓃵 #LionelMessi𓃵 #LeoMessi"
Jack Grealish,grealish,41,"▒▒▒▒ 23% minting ᴄᴏᴍᴘʟᴇᴛᴇ!

⚽️It's world cup day!!⚽️

The following 1/1 NFTs have now been minted in our #WorldCup2022 collection!

Grealish🏴󠁧󠁢󠁥󠁮󠁧󠁿
Lewandowski🇵🇱
Ronaldo (fat)🇧🇷
Mbappe🇫🇷

Plus a lot more! Minting is now Live👇

https://t.co/SDLFHpUW77

#Solana https://t.co/gex94E84Gw"
Casemiro,casemiro,41,"A beautiful team goal. A great pass from #Casemiro to assist #Richarlison's sublime goal. #Brazil 3-0 versus #Korea! 

@FIFAWorldCup and @FabrizioRomano and @GiuseppeRossi22 and @StatmanDave and @Naija_PR ⚽️ #BRAKOR 

#FIFAWorldCup #Qatar2022 #worldcup2022 https://t.co/9JiEdGTjw2"
Vinícius Júnior,vini jr,40,"• 1 goal
• 1 assist
• created the most chances

Vini Jr in his first 45 mins of the World Cup KO stage.✨💛 https://t.co/wFroEYMFK4"
Lionel Messi,leo_contextual|messi,40,"After 5 World Cup Campaigns,Leo holds these records in World Cup History....
▶️ Most MOTM awards (10)
▶️Most Goals By An Argentine (11)
▶️Most Assists By Active Player (8)
▶️ Most Goal Contribution (19)
▶️ Most Chances Created (70+)
▶️Most Successful Dribbles (120+)

Messi Things"
Cristiano Ronaldo,goat_contextual,40,"118 goals in 195 internationals for Portugal !!! 

Phew !! The legend called #christianoronaldo - the first man to score in 5 world cups - 8 World Cup goals !!! 

#GOAT𓃵"
Cristiano Ronaldo,cr7|cristiano,39,"⚽️2️⃣🇵🇹 Goncalo Ramos has scored more #WorldCup knockout goals in one night than @cristiano has scored in 16 years 😳

Do Portugal play better without #CR7? 👀 https://t.co/adn3lpXPo5"
Harry Kane,harrykane,37,2022 World Cup – Sunday 11 December 2022 https://t.co/iVtp6ijuiq #FIFAWorldCup2022 #Qatar2022 #WC2022Qatar #ThreeLions #England #HarryKane #France #EnglandVsFrance #portugalvsMorocco #Ronaldo #FIFA #VAR #Referee #wiltonsampaio https://t.co/mlTzCs4QGf
Vinícius Júnior,vinijr,36,"1 goal, 1 assist in 36 minutes on his FIFA World Cup KO’s debut. 

Remember the name, @vinijr https://t.co/vUVhxnfIwV"
Cristiano Ronaldo,cristiano|cristiano ronaldo,36,"BREAKING: #BNNPortugal Reports.

Portugal advanced to the FIFA World Cup in style, defeating Switzerland in the round of 16 with six goals despite benching their star player, Cristiano Ronaldo (@Cristiano). https://t.co/5XvA8NW158"
Eden Hazard,eden hazard|hazard_contextual,36,"126 caps. 33 goals. And truly incredible individual performances at the 2018 World Cup.

Eden Hazard gave his all for Belgium. https://t.co/6Sf4maurSh"
Rodrigo De Paul,de paul,35,"@433 Lionel Messi World Cup Playlist:

1. I'm finished (Intro)
2. Ghost (ft. Big Matches)
3. GOAT (Cristiano 🐐)
4. My Owner (Ft. Ramos)
5. Dickriding (Ft. De Paul)
6. Missing (Ft. UCL without Iniesta)
7. Goals (Ft. Tap in, can’t even score penalties 😭)
8. I Need You (Iniesta, Xavi)"
Kevin De Bruyne,de bruyne,35,"11 minutes and I’m sold on De Bruyne.

I imagine both him and Haaland have an increased desire to succeed following the World Cup.

Lovely goal but poor from Gomez.

#FPL #CarabaoCup"
Alisson,alisson,35,"@19Meridian77 @MCFC__BH Brazil were eliminated from the world cup, Alisson was in goal!"
Marcus Rashford,marcusrashford,34,"As an incentive, next World Cup the England team don’t get payed if they don’t bring the cup home. And every time @JPickford1 lets a goal in the England team has to pay into a public trust fund! #FIFAWorldCup @HKane @MarcusRashford @JackGrealish @BukayoSaka87 #ENGFRA"
Kylian Mbappé,kylian_contextual|mbappe,34,"4 goals in 2 World Cup finalS. 

KYLIAN KILLY KILLY MBAPPE."
Vinícius Júnior,vinicius junior,32,"2022 World Cup Goal-Creating Actions Leaders
(All Stats through Monday's games)

Kylian Mbappé🇫🇷 (6)
Jude Bellingham🏴󠁧󠁢󠁥󠁮󠁧󠁿 (5)
Jordi Alba🇪🇸 (4)
Vinicius Júnior🇧🇷 (4)
https://t.co/gUEfBMa343"
Declan Rice,declanrice,32,@_DeclanRice Has he ever scored 3 goals in a World Cup Final? NO!
Jude Bellingham,jude bellingham,31,"2022 World Cup Goal-Creating Actions Leaders
(All Stats through Friday's games)

Kylian Mbappé🇫🇷 (6)
Jude Bellingham🏴󠁧󠁢󠁥󠁮󠁧󠁿 (5)
Raphaël Guerreiro🇵🇹 (4)
Jordi Alba🇪🇸 (4)
https://t.co/cNk3f4DZVA"
Mason Mount,mason mount|mount_contextual,30,40 year old Pepe more goals than Mason mount in this World Cup
Eduardo Camavinga,camavinga,28,@_adofoasa__ Camavinga has had less touches than all the goal keepers in this World Cup
Cristiano Ronaldo,cr7|goat_contextual|ronaldo,28,"1️⃣ goal! That's all he scored in this World Cup. The "" #GOAT "" disappeared when his country needed him the most. In fact, they carried him into the quarterfinals. He had to be benched TWICE! Huge disappointment!!!
#FIFAWorldCup #WorldCup2022 #Ronaldo #CR7 #Portugal #POR https://t.co/QYbArbVKii"
Jude Bellingham,jude bellingham|jude_contextual,26,"19-year-old Jude Bellingham for England at the 2022 World Cup.

◉ Most duels won (33)
◉ Most tackles made (16)
◉ Most possession won (31)
◉ Most take-ons completed (6)

One goal, one assist. He'll be back. 😤 https://t.co/dk40rtOrAr"
Harry Kane,harry kane|kane,26,"After all the 'Harry Kane never misses' &amp; 'Kane has most goals from penalties in World Cup history' revelry from English fans/pundits after his first penalty, I kinda thought Lloris - a very good keeper - might save second one. Didn't expect this. #FIFAWorldCup2022 https://t.co/YNz4My8vG2"
Lionel Messi,goat_contextual|leo messi|leo_contextual,25,"🏟 1,003 games
⚽️ 793 goals
👑 7 Ballons d’Or
🏆 One World Cup

LEO MESSI IS THE GOAT 🐐

#FIFAWorldCup https://t.co/EWWfCUaQwn"
João Cancelo,cancelo,24,@austinvin07 @goal All the city players were shocking at the World Cup. Bernado Silva and Cancelo were complete shit
